| Month | Week | Focus Area                         | Topics / Skills                                                       | Tools / Resources                        | Exercises / Mini-Projects                                                             |
| ----- | ---- | ---------------------------------- | --------------------------------------------------------------------- | ---------------------------------------- | ------------------------------------------------------------------------------------- |
| 1     | 1    | Windows Internals Fundamentals     | Processes, threads, virtual memory, paging, user vs kernel mode       | *Windows Internals Part 1*, WinDbg       | Inspect running processes; map virtual memory layout of a sample process              |
| 1     | 2    | Handles & Objects                  | Object manager, handles, pools, kernel objects                        | *Windows Internals Part 1*, WinDbg       | Enumerate handles; map objects to processes                                           |
| 1     | 3    | Kernel Architecture                | Kernel mode basics, IRQL, interrupts, scheduler                       | *Windows Internals Part 2*, WDK          | List loaded drivers; log interrupts/context switches                                  |
| 1     | 4    | C/C++ Low-Level Programming        | Pointers, memory allocation, structs, linked lists                    | MSVC / GCC, WDK                          | Implement a simple memory pool manager; test allocation/deallocation                  |
| 2     | 5    | Driver Development Basics          | WDM driver structure, DriverEntry, IRP, logging                       | WDK, Visual Studio                       | Create a "Hello World" kernel driver; log messages to DebugView                       |
| 2     | 6    | Device Objects & IOCTL             | Device creation, I/O control codes, user-kernel communication         | WDK, DebugView, Visual Studio            | Extend driver to create device object; implement simple IOCTL                         |
| 2     | 7    | Kernel Memory Access & Enumeration | Enumerate processes in kernel, accessing memory safely, pools vs heap | WDK, WinDbg                              | Build driver function to list all running processes; log IDs/names/memory info        |
| 2     | 8    | Networking Basics                  | TCP/IP stack, UDP/TCP, ARP/DHCP/DNS, packet capture                   | Wireshark, Scapy                         | Capture packets; filter TCP/UDP; log packet info                                      |
| 3     | 9    | Kernel & Networking Integration    | Hooking network calls, monitoring connections                         | WDK, WinDbg, Python                      | Extend driver to log network connections; visualize in Python                         |
| 3     | 10   | Vulnerabilities & Exploits         | Stack/heap overflow, buffer overflow, format string                   | Metasploitable VM, vulnerable C programs | Write a vulnerable C program; exploit simple buffer overflow                          |
| 3     | 11   | Safe Exploit Practice              | ROP basics, DEP/ASLR, sandboxed testing                               | Immunity Debugger, GDB                   | Implement stack overflow with NOP sled; observe crash patterns                        |
| 3     | 12   | Mini-Project Integration           | Combine kernel, memory, networking skills                             | WDK, Python, Wireshark, WinDbg           | Build a driver logging processes + network connections; Python script visualizes logs |
| 4     | 13   | Malware Analysis Intro             | Static vs dynamic analysis, unpacking, safe sandboxing                | IDA Pro, Ghidra, VM sandbox              | Analyze a benign test malware; document API calls and behavior                        |
| 4     | 14   | Memory Forensics Basics            | Volatility, Rekall, process/memory snapshots                          | Volatility, Rekall                       | Extract process lists, handles, and injected modules from memory dumps                |
| 4     | 15   | Kernel Hooks & Malware Detection   | Hooking techniques, detecting hidden processes                        | WDK, WinDbg                              | Extend driver to detect hidden processes; log suspicious activity                     |
| 4     | 16   | Networking Forensics               | Packet capture analysis, anomaly detection                            | Wireshark, Python                        | Analyze network capture for unusual traffic; generate anomaly report                  |
| 5     | 17   | Security Automation                | Python scripting, PCAP parsing, log automation                        | Python, Scapy, Pandas                    | Build scripts to parse PCAP files and summarize connection patterns                   |
| 5     | 18   | AI Basics for Security             | KNN, logistic regression, anomaly detection                           | Python, scikit-learn                     | Train simple anomaly detection model on network logs                                  |
| 5     | 19   | Integration: AI + Security         | Combine Python scripts with ML for threat detection                   | Python, scikit-learn                     | Detect anomalous network activity; visualize results                                  |
| 5     | 20   | Advanced Malware Analysis          | Code injection, API hooking, dynamic behavior tracking                | IDA, Ghidra, WinDbg                      | Analyze test malware injecting into another process; document workflow                |
| 6     | 21   | Advanced Memory Forensics          | Kernel objects, rootkits, pool/heap manipulation                      | Volatility, Rekall                       | Detect hidden processes or injected modules; generate report                          |
| 6     | 22   | Kernel Exploit Exploration         | Privilege escalation, local kernel exploits (safe lab)                | WDK, lab VM                              | Implement and study local kernel exploit in sandboxed VM                              |
| 6     | 23   | Security Tool Development          | Build custom analysis tools, log aggregators                          | Python, C/C++                            | Create a tool combining process info + network logs + anomaly detection               |
| 6     | 24   | Red Team Simulation                | Simulate attacks in lab, analyze defenses                             | HTB/CTF VM, Wireshark, WinDbg            | Execute simulated attack; log process + network anomalies                             |
| 7     | 25   | Consolidation: Mini Projects       | Integrate kernel, networking, malware, ML skills                      | WDK, Python, Wireshark, WinDbg           | Build a small malware detection system in VM lab                                      |
| 7     | 26   | Documentation & Portfolio          | Lab notebooks, GitHub, write-ups                                      | GitHub, Markdown                         | Document all exercises; prepare portfolio for Phase 2                                 |
| 7     | 27   | CTF & Hands-On Practice            | Windows exploitation, memory forensics, network challenges            | Hack The Box, TryHackMe                  | Solve 1–2 medium CTF challenges; document write-up                                    |
| 7     | 28   | Review & Prepare Phase 2           | Identify weak areas, refine skills, plan next 6 months                | All previous tools                       | Summarize learning; list Phase 2 goals (advanced AI + security projects)              |
